Restaurant ID,Restaurant,country,City,Address,Locality,Cuisines,Average Cost for two,Table booking,Online delivery,delivering now,rating,Rating color,Rating text,Votes,Price Range
7291,Puri Bakers,India,New Delhi,"A-3/264, Paschim Vihar, New Delhi",Paschim Vihar,Fast Food,300,No,Yes,No,3.6,Yellow,Good,108,
7391,Costa Coffee,India,New Delhi,"Community Center, Priya Market, Vasant Vihar, New Delhi",Vasant Vihar,Cafe,600,No,No,No,3.6,Yellow,Good,80,
7427,Standard Corner,India,New Delhi,"99, Old Rajinder Nagar, Rajinder Nagar, New Delhi",Rajinder Nagar,Indian,100,No,No,No,3.6,Yellow,Good,87,
7472,Daikichi,India,Gurgaon,"UGF-02, JMD Regent Arcade Mall, MG Road, Gurgaon","JMD Regent Arcade Mall, MG Road",Japanese,1000,Yes,No,No,3.6,Yellow,Good,70,
7496,Melange - The Pllazio Hotel,India,Gurgaon,"The Pllazio Hotel, 292-296, City Center, Sector 29, Gurgaon","The Pllazio Hotel, Sector 29",Indian,2500,Yes,No,No,3.6,Yellow,Good,94,
7516,The Food Store - DoubleTree by Hilton,India,Gurgaon,"DoubleTree by Hilton, Golf Course Road, Sector 56, Gurgaon","DoubleTree by Hilton, Sector 56",italian,3000,Yes,No,No,3.6,Yellow,Good,58,
7548,Al Quresh,India,New Delhi,"160, South Moti Bagh Market, Moti Bagh, New Delhi",Moti Bagh,Indian,600,No,No,No,3.6,Yellow,Good,62,
7634,Maa Tara,India,New Delhi,"45, 46, & 47, Market 2, Chittaranjan Park, New Delhi",Chittaranjan Park,Indian,500,No,Yes,No,3.6,Yellow,Good,458,
7642,Defence Bakery,India,New Delhi,"M-70, M Block Market, Greater Kailash (GK) 2, New Delhi",Greater Kailash (GK) 2,Fast Food,400,No,Yes,No,3.6,Yellow,Good,113,
7654,Kolkata Kathi Roll,India,New Delhi,"3, E-2/16, Malviya Nagar, New Delhi",Malviya Nagar,Fast Food,150,No,No,No,3.6,Yellow,Good,82,
7667,Shake Square,India,New Delhi,"12-UB, Bungalow Road Market, Kamla Nagar, New Delhi",Kamla Nagar,Fast Food,400,No,No,No,3.6,Yellow,Good,261,
8265,McDonald's,India,New Delhi,"Shop 98 & 107, Ground Floor, V3S East Central Mall, Plot  12, Laxmi Nagar, New Delhi","V3S Mall, Laxmi Nagar",Fast Food,500,No,Yes,No,3.6,Yellow,Good,160,
8346,Soi Thai,India,New Delhi,"Shop 3, Navjivan Vihar Market, Navjivan Vihar, Malviya Nagar, New Delhi",Malviya Nagar,"Thai, Japanese",1500,No,Yes,No,3.6,Yellow,Good,148,
8601,Haldiram's,India,Ghaziabad,"Ground Floor, Shipra Mall, Gulmohar Road, Indirapuram, Ghaziabad","Shipra Mall, Indirapuram",Fast Food,600,No,No,No,3.6,Yellow,Good,187,
8864,Peshawari Chicken Corner,India,New Delhi,"33-34 B, Prehlad Market, Ramjas Road, Karol Bagh, New Delhi",Karol Bagh,Indian,500,No,Yes,No,3.6,Yellow,Good,76,
8911,The Beer Cafe,India,New Delhi,"1/2, Scindia House, Janpath, New Delhi",Janpath,Finger Food,1250,Yes,No,No,3.6,Yellow,Good,1058,
9016,Ravi Raj Di Kulfi,India,New Delhi,"Arya Samaj Road, Opposite Gaffar Market, Karol Bagh, New Delhi",Karol Bagh,Desserts,150,No,No,No,3.6,Yellow,Good,99,
